{2784.72389, 1135.223298, 0.0}
{2778.734785, 1131.951643, 0.0}
{2772.771109, 1128.690682, 0.0}
{2766.689167, 1125.366035, 0.0}
{2751.689813, 1118.823803, 0.0}
{2746.519257, 1116.333075, 0.0}
{2741.444081, 1113.84037, 0.0}
{2736.112766, 1109.294376, 0.0}
{2734.254734, 1102.903691, 0.0}
{2734.254734, 1097.108768, 0.0}
{2734.254734, 1091.340139, 0.0}
{2784.900266, 1059.608106, 0.0}
{2778.911073, 1056.336452, 0.0}
{2772.947486, 1053.075456, 0.0}
{2766.865543, 1049.750932, 0.0}
{2751.866189, 1043.208523, 0.0}
{2746.695722, 1040.717883, 0.0}
{2741.620457, 1038.225179, 0.0}
{2736.289231, 1033.679273, 0.0}
{2734.431199, 1027.288588, 0.0}
{2734.431199, 1021.493665, 0.0}
{2734.431199, 1015.724859, 0.0}
{2784.900266, 987.433975, 0.0}
{2778.911073, 984.162409, 0.0}
{2772.947486, 980.90136, 0.0}
{2766.865543, 977.576889, 0.0}
{2751.866189, 971.03448, 0.0}
{2746.695722, 968.54384, 0.0}
{2741.620457, 966.051136, 0.0}
{2736.289231, 961.50523, 0.0}
{2734.431199, 955.114545, 0.0}
{2734.431199, 949.319622, 0.0}
{2734.431199, 943.550816, 0.0}
{2784.900266, 911.73064, 0.0}
{2778.911073, 908.458897, 0.0}
{2772.947486, 905.198024, 0.0}
{2766.865543, 901.873377, 0.0}
{2751.866189, 895.330968, 0.0}
{2746.695722, 892.840416, 0.0}
{2741.620457, 890.347712, 0.0}
{2736.289231, 885.801806, 0.0}
{2734.431199, 879.411033, 0.0}
{2734.431199, 873.61611, 0.0}
{2734.431199, 867.847481, 0.0}
{2784.900266, 836.82113, 0.0}
{2778.911073, 833.549564, 0.0}
{2772.947486, 830.288603, 0.0}
{2766.865543, 826.963956, 0.0}
{2751.866189, 820.421547, 0.0}
{2746.695722, 817.930995, 0.0}
{2741.620457, 815.438326, 0.0}
{2736.289231, 810.892297, 0.0}
{2734.431199, 804.501788, 0.0}
{2734.431199, 798.706689, 0.0}
{2734.431199, 792.937883, 0.0}
